"Player,Runs_bat,4s_bat,6s_bat,Strike Rate_x,Wickets,Maidens,Overs,Economy,Dots,Fielder_Catch,Fielder_Stumping,Fielder_Runout,Fantasy_Points,Player_Role"
"jalaj saxena,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,Unknown"
"james neesham,31.0,3.0,0.0,25.554444444444446,7.0,0.0,25.0,8.350000000000001,47.0,0.0,0.0,0.0,209.0,Bowler"
"james pattinson,15.0,2.0,0.0,31.071428571428573,9.0,0.0,24.3,8.605714285714287,58.0,0.0,0.0,0.0,242.0,Bowler"
"jason behrendorff,6.0,0.0,0.0,13.5,11.0,0.0,35.0,9.056999999999999,77.0,0.0,0.0,0.0,281.0,Bowler"
"jason holder,221.0,9.0,16.0,72.07588235294118,35.0,0.0,101.1,7.741176470588235,193.0,0.0,0.0,0.0,1137.0,Allrounder"
"jason roy,435.0,57.0,13.0,130.25230769230768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,Batsman"
"jasprit bumrah,33.0,3.0,0.0,25.271960784313723,70.0,3.0,191.7,6.720588235294118,525.0,0.0,0.0,0.0,1822.0,Bowler"
"jayant yadav,34.0,2.0,1.0,47.4425,3.0,0.0,28.0,7.3225,65.0,0.0,0.0,0.0,113.0,Unknown"
"jaydev unadkat,142.0,10.0,6.0,84.17862068965516,21.0,0.0,88.1,8.870344827586207,153.0,0.0,0.0,0.0,689.0,Unknown"
"jhye richardson,17.0,2.0,0.0,42.045,3.0,0.0,15.0,10.25,32.0,0.0,0.0,0.0,94.0,Batsman"
"jitesh sharma,50.0,2.0,4.0,148.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,Batsman"
"jitesh sharma (c)â€ ,32.0,2.0,2.0,213.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,Batsman"
"jitesh sharma â€ ,648.0,49.0,39.0,141.940625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,Batsman"
"joe root,10.0,1.0,0.0,33.33,0.0,0.0,2.0,3.5,2.0,0.0,0.0,0.0,11.0,Unknown"
"jofra archer,117.0,5.0,10.0,113.87647058823529,19.0,0.0,56.0,5.794117647058823,169.0,0.0,0.0,0.0,617.0,Allrounder"
"jonny bairstow,574.0,66.0,25.0,134.74636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,Batsman"
"jonny bairstow â€ ,570.0,52.0,26.0,126.44666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,Batsman"
"jos buttler,2028.0,201.0,90.0,116.27851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2409.0,Batsman"
"jos buttler â€ ,168.0,14.0,10.0,151.54571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,Batsman"
"josh hazlewood,0.0,0.0,0.0,0.0,35.0,1.0,96.3,8.086923076923076,263.0,0.0,0.0,0.0,887.0,Bowler"
"josh little,0.0,0.0,0.0,0.0,11.0,0.0,38.0,9.196363636363635,84.0,0.0,0.0,0.0,275.0,Bowler"
"kagiso rabada,137.0,11.0,6.0,44.14824561403508,72.0,2.0,206.4,8.50578947368421,525.0,0.0,0.0,0.0,1984.0,Bowler"
"kamlesh nagarkoti,22.0,1.0,0.0,42.11727272727273,5.0,0.0,23.0,7.59,46.0,0.0,0.0,0.0,148.0,Unknown"
"kane richardson,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.66,5.0,0.0,0.0,0.0,25.0,Bowler"
"kane williamson,452.0,42.0,11.0,125.655,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,516.0,Batsman"
"kane williamson (c),374.0,33.0,9.0,79.7735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,Batsman"
"karan sharma,16.0,1.0,0.0,72.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Batsman"
"karn sharma,31.0,2.0,3.0,28.035500000000003,22.0,0.0,60.3,10.553,102.0,0.0,0.0,0.0,589.0,Bowler"
"kartik tyagi,13.0,1.0,0.0,23.920588235294115,13.0,0.0,54.6,9.05235294117647,124.0,0.0,0.0,0.0,339.0,Bowler"
"karun nair,16.0,1.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Batsman"
"kedar jadhav,117.0,9.0,2.0,104.42699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,Batsman"
"keshav maharaj,1.0,0.0,0.0,25.0,2.0,0.0,6.0,6.875,11.0,0.0,0.0,0.0,51.0,Allrounder"
"khaleel ahmed,1.0,0.0,0.0,1.1363636363636365,51.0,4.0,159.1,8.851818181818182,416.0,0.0,0.0,0.0,1324.0,Bowler"
"kieron pollard,632.0,35.0,45.0,120.15105263157893,12.0,0.0,41.1,4.851842105263158,72.0,0.0,0.0,0.0,1057.0,Batsman"
"kieron pollard (c),25.0,2.0,2.0,219.04666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,Batsman"
"kl rahul,15.0,1.0,1.0,166.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Batsman"
"kl rahul (c),986.0,81.0,39.0,101.23384615384614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.0,Batsman"
"kl rahul (c)â€ ,1035.0,84.0,43.0,127.45875000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.0,Batsman"
"km asif,0.0,0.0,0.0,0.0,2.0,0.0,12.1,7.159999999999999,22.0,0.0,0.0,0.0,50.0,Unknown"
"krishnappa gowtham,61.0,2.0,5.0,96.8892857142857,8.0,1.0,36.0,8.553571428571429,83.0,0.0,0.0,0.0,285.0,Bowler"
"krunal pandya,690.0,56.0,24.0,92.97614285714286,32.0,1.0,159.2,6.542142857142857,326.0,0.0,0.0,0.0,1606.0,Batsman"
"krunal pandya (c),66.0,2.0,2.0,60.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,Batsman"
"kuldeep sen,0.0,0.0,0.0,0.0,10.0,0.0,36.4,10.376363636363637,78.0,0.0,0.0,0.0,250.0,Bowler"
"kuldeep yadav,139.0,12.0,3.0,41.66697674418605,45.0,0.0,141.4,7.55,263.0,0.0,0.0,0.0,1282.0,Bowler"
"kuldip yadav,0.0,0.0,0.0,0.0,2.0,0.0,9.0,8.833333333333334,14.0,0.0,0.0,0.0,50.0,Bowler"
"kulwant khejroliya,0.0,0.0,0.0,0.0,2.0,0.0,4.2,14.83,7.0,0.0,0.0,0.0,50.0,Unknown"
"kumar kartikeya,9.0,1.0,0.0,13.246363636363634,9.0,0.0,35.0,8.43,68.0,0.0,0.0,0.0,235.0,Bowler"
"kumar kushagra,3.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Batsman"
"kwena maphaka,0.0,0.0,0.0,0.0,1.0,0.0,6.0,14.0,12.0,0.0,0.0,0.0,25.0,Bowler"
"kyle jamieson,0.0,0.0,0.0,0.0,9.0,0.0,28.0,10.044444444444444,70.0,0.0,0.0,0.0,225.0,Bowler"
"kyle mayers,379.0,38.0,22.0,116.13461538461539,0.0,0.0,7.0,3.923076923076923,14.0,0.0,0.0,0.0,461.0,Batsman"
"lalit yadav,305.0,27.0,7.0,77.96039999999999,9.0,0.0,44.0,7.0924000000000005,79.0,0.0,0.0,0.0,571.0,Batsman"
"liam livingstone,869.0,60.0,61.0,133.33828571428572,11.0,0.0,39.6,5.840285714285714,68.0,0.0,0.0,0.0,1326.0,Batsman"
"litton das â€ ,4.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Batsman"
"lizaad williams,1.0,0.0,0.0,25.0,1.0,0.0,6.0,11.995000000000001,13.0,0.0,0.0,0.0,26.0,Unknown"
"lockie ferguson,67.0,6.0,2.0,22.9265625,34.0,0.0,107.4,8.8375,245.0,0.0,0.0,0.0,927.0,Bowler"
"luke wood,9.0,0.0,1.0,150.0,1.0,0.0,6.0,14.75,9.0,0.0,0.0,0.0,36.0,Allrounder"
"lukman meriwala,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.66,6.0,0.0,0.0,0.0,25.0,Bowler"
"lungi ngidi,0.0,0.0,0.0,0.0,11.0,0.0,24.0,10.541666666666666,49.0,0.0,0.0,0.0,275.0,Bowler"
"m shahrukh khan,553.0,35.0,37.0,134.09815789473683,0.0,0.0,2.0,0.39473684210526316,4.0,0.0,0.0,0.0,662.0,Batsman"
"maheesh theekshana,7.0,0.0,1.0,7.0,17.0,1.0,92.0,7.2732,179.0,0.0,0.0,0.0,446.0,Bowler"
"mahipal lomror,278.0,14.0,18.0,98.28142857142856,1.0,0.0,10.0,3.4442857142857144,17.0,0.0,0.0,0.0,353.0,Batsman"
"manan vohra,71.0,7.0,4.0,116.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,Batsman"
"manav suthar,1.0,0.0,0.0,50.0,0.0,0.0,2.0,13.0,4.0,0.0,0.0,0.0,1.0,Batsman"
"mandeep singh,47.0,6.0,1.0,54.104285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,Batsman"
"manimaran siddharth,0.0,0.0,0.0,0.0,1.0,0.0,9.0,8.25,22.0,0.0,0.0,0.0,25.0,Unknown"
"manish pandey,938.0,75.0,33.0,101.86421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,Batsman"
"manish pandey (c),69.0,7.0,2.0,168.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,Batsman"
"marco jansen,66.0,5.0,2.0,51.8625,15.0,1.0,67.0,9.499500000000001,163.0,0.0,0.0,0.0,462.0,Allrounder"
